id,name_x,species,breed,type,danger_level_x,variety,hunter_id_x,terrain_name,name_y,level,experience,terrain_visited,total_animals_hunted,hunter_id_y,climate,danger_level_y,rarity_factor,description
32,Jody,Leopard,Arctic,Herbivore,Low,Uncommon,H052,Savanna,Ravi,5,683,Forest,46,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
33,Jennifer,Lion,Snow,Herbivore,Medium,Common,H042,Forest,Zara,7,2471,Desert,48,3,Mild,Low,1.0,Balanced area with common animals
34,Michelle,Cheetah,Arctic,Predator,Low,Common,H075,Jungle,Arjun,7,2244,Jungle,40,1,Humid,High,1.5,Dense forest with dangerous wild predators
35,Michelle,Wolf,Bengal,Herbivore,Medium,Rare,H069,Canyon,Reva,7,321,Mountain,40,9,Hot,Medium,1.4,Narrow passages with ambush threats
36,Charles,Giraffe,Bengal,Herbivore,High,Uncommon,H002,Jungle,Liam,8,380,Forest,12,1,Humid,High,1.5,Dense forest with dangerous wild predators
37,Andrea,Tiger,Bengal,Herbivore,Medium,Rare,H029,Desert,Zara,5,1641,Canyon,48,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
38,Sarah,Zebra,Bengal,Predator,High,Rare,H047,Desert,Meera,9,541,Ice Fields,36,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
39,Emily,Rhino,Snow,Omnivore,Medium,Common,H037,Swamp,Tara,7,1073,Desert,36,4,Wet,High,1.6,Murky lands with hidden threats
40,Sally,Wolf,Sumatran,Predator,High,Rare,H035,Volcanic Zone,Ravi,4,792,Canyon,26,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
41,Cassidy,Lion,Arctic,Omnivore,High,Uncommon,H075,Savanna,Arjun,7,2244,Jungle,40,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
42,Ashley,Elephant,Bengal,Omnivore,Low,Uncommon,H038,Volcanic Zone,Liam,9,2014,Swamp,36,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
43,Mary,Leopard,Indian,Herbivore,Medium,Uncommon,H010,Canyon,Kaira,2,2495,Canyon,38,9,Hot,Medium,1.4,Narrow passages with ambush threats
44,Kyle,Leopard,Mountain,Omnivore,Medium,Common,H094,Forest,Ravi,8,627,Riverlands,46,3,Mild,Low,1.0,Balanced area with common animals
45,Gary,Leopard,Sumatran,Herbivore,High,Common,H051,Forest,Reva,8,1830,Riverlands,11,3,Mild,Low,1.0,Balanced area with common animals
46,Aimee,Tiger,Siberian,Omnivore,High,Common,H080,Jungle,Nikhil,5,1228,Forest,40,1,Humid,High,1.5,Dense forest with dangerous wild predators
47,Jose,Bear,Sumatran,Predator,Medium,Rare,H006,Savanna,Arjun,3,2950,Ruins,45,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
48,Monica,Leopard,Siberian,Predator,Low,Uncommon,H089,Volcanic Zone,Ravi,9,334,Volcano,12,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
49,Patricia,Wolf,Asian,Predator,Low,Uncommon,H016,Forest,Dev,4,2499,Jungle,11,3,Mild,Low,1.0,Balanced area with common animals
50,Holly,Giraffe,Sumatran,Predator,Low,Common,H050,Swamp,Tara,6,831,Canyon,44,4,Wet,High,1.6,Murky lands with hidden threats
51,Michelle,Cheetah,Mountain,Herbivore,High,Uncommon,H092,Desert,Tara,7,1246,Forest,6,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
52,Cole,Leopard,African,Herbivore,Low,Uncommon,H055,Swamp,Kaira,8,518,Volcano,15,4,Wet,High,1.6,Murky lands with hidden threats
53,David,Rhino,Sumatran,Predator,High,Common,H035,Canyon,Ravi,4,792,Canyon,26,9,Hot,Medium,1.4,Narrow passages with ambush threats
54,Christopher,Rhino,African,Omnivore,Medium,Uncommon,H024,Savanna,Zara,9,1405,Ice Fields,45,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
55,Calvin,Bear,Mountain,Omnivore,Medium,Uncommon,H094,Volcanic Zone,Ravi,8,627,Riverlands,46,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
56,Melissa,Wolf,Arctic,Herbivore,Medium,Rare,H090,Swamp,Zara,2,2327,Riverlands,22,4,Wet,High,1.6,Murky lands with hidden threats
57,Laurie,Bear,Siberian,Predator,Low,Uncommon,H006,Savanna,Arjun,3,2950,Ruins,45,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
58,Jeffrey,Rhino,Siberian,Omnivore,Medium,Common,H041,City Ruins,Liam,5,1059,Volcano,39,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
59,Michelle,Bear,Indochinese,Herbivore,Low,Uncommon,H022,Desert,Zara,4,2500,Ruins,19,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
60,Steven,Leopard,Indochinese,Herbivore,High,Uncommon,H018,Volcanic Zone,Kaira,8,2257,Desert,22,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
61,Michael,Cheetah,Arctic,Omnivore,High,Rare,H057,Desert,Dev,7,1761,Ice Fields,26,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
62,Latasha,Bear,Siberian,Herbivore,High,Rare,H044,Savanna,Arjun,7,1338,Ruins,10,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
63,Natasha,Lion,Indochinese,Predator,High,Rare,H023,Volcanic Zone,Zara,5,2278,Volcano,24,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
64,Adam,Bear,Sumatran,Omnivore,Low,Common,H095,Volcanic Zone,Tara,4,991,Mountain,41,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
65,Ricardo,Bear,Arctic,Herbivore,Low,Common,H010,Forest,Kaira,2,2495,Canyon,38,3,Mild,Low,1.0,Balanced area with common animals
66,Stephanie,Cheetah,Asian,Predator,Low,Rare,H006,Mountains,Arjun,3,2950,Ruins,45,5,Cold,Medium,1.3,Rocky regions with agile animals
67,Deborah,Bear,Indochinese,Herbivore,Low,Uncommon,H021,City Ruins,Reva,2,580,Desert,45,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
68,Laurie,Bear,Indochinese,Herbivore,Medium,Rare,H057,Mountains,Dev,7,1761,Ice Fields,26,5,Cold,Medium,1.3,Rocky regions with agile animals
69,Andrea,Giraffe,Mountain,Omnivore,High,Uncommon,H043,Canyon,Zara,5,964,Volcano,11,9,Hot,Medium,1.4,Narrow passages with ambush threats
70,Dalton,Giraffe,Siberian,Omnivore,High,Rare,H099,Swamp,Tara,9,2822,Ruins,31,4,Wet,High,1.6,Murky lands with hidden threats
71,Daniel,Rhino,African,Herbivore,High,Common,H098,Forest,Reva,2,2266,Mountain,8,3,Mild,Low,1.0,Balanced area with common animals
72,Rebecca,Cheetah,Snow,Herbivore,High,Uncommon,H047,Tundra,Meera,9,541,Ice Fields,36,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
73,Timothy,Giraffe,African,Omnivore,Low,Common,H058,Desert,Nikhil,9,1316,Volcano,19,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
74,Jamie,Tiger,Indochinese,Herbivore,High,Common,H072,Savanna,Tara,4,2685,Jungle,14,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
75,Steven,Tiger,Mountain,Predator,High,Uncommon,H050,Mountains,Tara,6,831,Canyon,44,5,Cold,Medium,1.3,Rocky regions with agile animals
76,Kelsey,Giraffe,Sumatran,Omnivore,Medium,Uncommon,H038,Canyon,Liam,9,2014,Swamp,36,9,Hot,Medium,1.4,Narrow passages with ambush threats
77,Sarah,Cheetah,Siberian,Omnivore,Low,Common,H034,Forest,Dev,6,1404,Swamp,24,3,Mild,Low,1.0,Balanced area with common animals
78,Cameron,Leopard,Asian,Herbivore,Medium,Rare,H047,Forest,Meera,9,541,Ice Fields,36,3,Mild,Low,1.0,Balanced area with common animals
79,Regina,Elephant,Mountain,Omnivore,High,Uncommon,H046,Swamp,Zara,5,923,Desert,34,4,Wet,High,1.6,Murky lands with hidden threats
80,Lori,Bear,Sumatran,Herbivore,High,Uncommon,H018,Desert,Kaira,8,2257,Desert,22,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
81,Lori,Giraffe,Siberian,Omnivore,Low,Uncommon,H095,Volcanic Zone,Tara,4,991,Mountain,41,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
82,Janet,Bear,Snow,Predator,Medium,Common,H053,Canyon,Ravi,7,1120,Ice Fields,36,9,Hot,Medium,1.4,Narrow passages with ambush threats
83,Paul,Lion,Asian,Herbivore,High,Uncommon,H030,Savanna,Reva,3,524,Jungle,45,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
84,David,Cheetah,Sumatran,Herbivore,Medium,Rare,H043,Mountains,Zara,5,964,Volcano,11,5,Cold,Medium,1.3,Rocky regions with agile animals
85,David,Giraffe,African,Omnivore,Low,Rare,H058,Mountains,Nikhil,9,1316,Volcano,19,5,Cold,Medium,1.3,Rocky regions with agile animals
86,Danny,Tiger,Arctic,Predator,Medium,Rare,H045,Mountains,Zara,10,1016,Ruins,27,5,Cold,Medium,1.3,Rocky regions with agile animals
87,Susan,Bear,Indian,Omnivore,Low,Common,H093,Canyon,Reva,7,311,Canyon,25,9,Hot,Medium,1.4,Narrow passages with ambush threats
88,Kari,Tiger,Asian,Omnivore,Low,Common,H079,City Ruins,Reva,2,1179,Desert,12,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
89,Anne,Lion,Arctic,Herbivore,Low,Rare,H046,Savanna,Zara,5,923,Desert,34,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
90,Jeffery,Zebra,Arctic,Omnivore,Low,Uncommon,H024,Savanna,Zara,9,1405,Ice Fields,45,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
91,Katelyn,Leopard,African,Herbivore,Medium,Rare,H065,Forest,Meera,8,206,Swamp,26,3,Mild,Low,1.0,Balanced area with common animals
92,Joseph,Lion,Siberian,Predator,High,Common,H084,Mountains,Liam,7,1509,Forest,34,5,Cold,Medium,1.3,Rocky regions with agile animals
93,Ethan,Tiger,Snow,Omnivore,Low,Common,H046,Canyon,Zara,5,923,Desert,34,9,Hot,Medium,1.4,Narrow passages with ambush threats
94,Michael,Tiger,Bengal,Omnivore,High,Common,H071,Jungle,Reva,6,2104,Ice Fields,16,1,Humid,High,1.5,Dense forest with dangerous wild predators
95,David,Bear,Indochinese,Predator,High,Rare,H010,City Ruins,Kaira,2,2495,Canyon,38,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
96,Leslie,Cheetah,Sumatran,Omnivore,High,Common,H031,Canyon,Ravi,7,2982,Volcano,43,9,Hot,Medium,1.4,Narrow passages with ambush threats
97,Angelica,Lion,African,Herbivore,Medium,Rare,H046,Mountains,Zara,5,923,Desert,34,5,Cold,Medium,1.3,Rocky regions with agile animals
98,Nancy,Tiger,Indochinese,Herbivore,Medium,Rare,H032,Volcanic Zone,Zara,10,1525,Desert,15,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
99,John,Tiger,Asian,Predator,Low,Common,H016,Savanna,Dev,4,2499,Jungle,11,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
100,Daniel,Lion,Bengal,Herbivore,Medium,Uncommon,H045,Savanna,Zara,10,1016,Ruins,27,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
101,Amy,Rhino,Bengal,Predator,Medium,Uncommon,H022,Canyon,Zara,4,2500,Ruins,19,9,Hot,Medium,1.4,Narrow passages with ambush threats
102,Brandy,Bear,Sumatran,Predator,Medium,Uncommon,H042,Savanna,Zara,7,2471,Desert,48,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
103,Todd,Zebra,African,Predator,High,Uncommon,H040,Desert,Ravi,1,850,Ruins,28,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
104,Jason,Wolf,Snow,Predator,High,Uncommon,H044,Swamp,Arjun,7,1338,Ruins,10,4,Wet,High,1.6,Murky lands with hidden threats
105,Seth,Elephant,Mountain,Omnivore,Low,Rare,H031,Swamp,Ravi,7,2982,Volcano,43,4,Wet,High,1.6,Murky lands with hidden threats
106,Jessica,Leopard,Bengal,Predator,Medium,Common,H070,Tundra,Dev,1,1776,Volcano,38,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
107,Alexander,Bear,Indian,Omnivore,Medium,Common,H048,Canyon,Nikhil,7,2229,Mountain,8,9,Hot,Medium,1.4,Narrow passages with ambush threats
108,Ashley,Bear,Bengal,Herbivore,High,Rare,H076,City Ruins,Dev,1,315,Forest,22,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
109,Ashley,Wolf,African,Herbivore,Medium,Rare,H050,City Ruins,Tara,6,831,Canyon,44,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
110,Daniel,Giraffe,Indochinese,Predator,Medium,Uncommon,H008,Volcanic Zone,Liam,6,2972,Riverlands,14,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
111,Adam,Tiger,Sumatran,Herbivore,Low,Common,H054,City Ruins,Kaira,6,1775,Volcano,48,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
112,Tracey,Elephant,Arctic,Omnivore,High,Uncommon,H061,Forest,Zara,10,2525,Volcano,27,3,Mild,Low,1.0,Balanced area with common animals
113,Jamie,Lion,African,Predator,Low,Uncommon,H067,Savanna,Nikhil,1,2618,Riverlands,16,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
114,Margaret,Cheetah,Indochinese,Herbivore,High,Rare,H089,Jungle,Ravi,9,334,Volcano,12,1,Humid,High,1.5,Dense forest with dangerous wild predators
115,Victor,Lion,Indochinese,Predator,Low,Uncommon,H055,Desert,Kaira,8,518,Volcano,15,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
116,William,Rhino,Indian,Omnivore,High,Common,H097,Mountains,Dev,8,1256,Desert,9,5,Cold,Medium,1.3,Rocky regions with agile animals
117,Crystal,Lion,Sumatran,Omnivore,Low,Uncommon,H091,Savanna,Reva,8,2781,Mountain,22,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
118,Rose,Leopard,Snow,Predator,High,Uncommon,H061,Savanna,Zara,10,2525,Volcano,27,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
119,Leah,Leopard,Siberian,Predator,Low,Uncommon,H061,Canyon,Zara,10,2525,Volcano,27,9,Hot,Medium,1.4,Narrow passages with ambush threats
120,Melissa,Leopard,Asian,Omnivore,Medium,Uncommon,H049,Mountains,Zara,4,200,Forest,20,5,Cold,Medium,1.3,Rocky regions with agile animals
121,Andrea,Elephant,Sumatran,Omnivore,Medium,Uncommon,H064,Canyon,Nikhil,3,1385,Desert,32,9,Hot,Medium,1.4,Narrow passages with ambush threats
122,Lindsey,Tiger,African,Predator,Low,Uncommon,H034,City Ruins,Dev,6,1404,Swamp,24,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
123,Richard,Wolf,Arctic,Herbivore,High,Rare,H095,Savanna,Tara,4,991,Mountain,41,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
124,Richard,Bear,Siberian,Omnivore,High,Common,H073,Swamp,Ravi,6,709,Canyon,25,4,Wet,High,1.6,Murky lands with hidden threats
125,Sean,Rhino,Asian,Predator,Low,Common,H029,Savanna,Zara,5,1641,Canyon,48,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
126,Raven,Rhino,Sumatran,Herbivore,Low,Rare,H069,Canyon,Reva,7,321,Mountain,40,9,Hot,Medium,1.4,Narrow passages with ambush threats
127,Edward,Leopard,Mountain,Herbivore,Low,Uncommon,H017,Tundra,Liam,9,2480,Forest,23,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
128,Leslie,Tiger,African,Herbivore,High,Rare,H056,City Ruins,Arjun,9,1920,Ruins,12,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
129,Jake,Zebra,Indian,Omnivore,Low,Common,H035,Volcanic Zone,Ravi,4,792,Canyon,26,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
130,Mark,Elephant,Mountain,Herbivore,Medium,Common,H074,Tundra,Liam,5,473,Ruins,10,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
131,Ariana,Wolf,Arctic,Herbivore,High,Uncommon,H070,Tundra,Dev,1,1776,Volcano,38,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
132,Matthew,Elephant,Sumatran,Herbivore,High,Common,H100,Desert,Nikhil,1,611,Ice Fields,48,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
133,Danielle,Bear,Indochinese,Predator,High,Common,H076,Volcanic Zone,Dev,1,315,Forest,22,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
134,Candace,Lion,Bengal,Predator,Medium,Common,H069,Canyon,Reva,7,321,Mountain,40,9,Hot,Medium,1.4,Narrow passages with ambush threats
135,Jesse,Elephant,Snow,Omnivore,Low,Uncommon,H057,Mountains,Dev,7,1761,Ice Fields,26,5,Cold,Medium,1.3,Rocky regions with agile animals
136,Christine,Rhino,Indian,Herbivore,High,Rare,H026,Mountains,Arjun,2,983,Riverlands,33,5,Cold,Medium,1.3,Rocky regions with agile animals
137,James,Wolf,Asian,Omnivore,Low,Rare,H097,Canyon,Dev,8,1256,Desert,9,9,Hot,Medium,1.4,Narrow passages with ambush threats
138,Cheryl,Cheetah,Mountain,Predator,Medium,Uncommon,H071,City Ruins,Reva,6,2104,Ice Fields,16,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
139,Scott,Tiger,Snow,Herbivore,High,Uncommon,H073,Volcanic Zone,Ravi,6,709,Canyon,25,10,Extreme,Very High,2.0,A deadly zone with rare beasts and fire-based challenges
140,Sheri,Leopard,Mountain,Herbivore,High,Uncommon,H099,Mountains,Tara,9,2822,Ruins,31,5,Cold,Medium,1.3,Rocky regions with agile animals
141,Kathryn,Giraffe,Arctic,Predator,Medium,Rare,H074,Desert,Liam,5,473,Ruins,10,2,Arid,Medium,1.2,Hot and dry terrain with limited animal life
142,Jennifer,Leopard,Indian,Omnivore,High,Uncommon,H020,Mountains,Kaira,1,2637,Ice Fields,28,5,Cold,Medium,1.3,Rocky regions with agile animals
143,Kathleen,Bear,Asian,Omnivore,High,Common,H064,Jungle,Nikhil,3,1385,Desert,32,1,Humid,High,1.5,Dense forest with dangerous wild predators
144,Cameron,Zebra,Sumatran,Predator,Medium,Common,H100,Tundra,Nikhil,1,611,Ice Fields,48,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
145,Victoria,Leopard,African,Omnivore,Low,Uncommon,H088,City Ruins,Liam,4,959,Canyon,17,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
146,Michael,Wolf,Mountain,Herbivore,High,Rare,H052,Jungle,Ravi,5,683,Forest,46,1,Humid,High,1.5,Dense forest with dangerous wild predators
147,David,Elephant,Snow,Omnivore,Medium,Uncommon,H028,Savanna,Liam,5,2836,Desert,49,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
148,Jacob,Giraffe,Mountain,Herbivore,Medium,Common,H042,Tundra,Zara,7,2471,Desert,48,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
149,David,Cheetah,Arctic,Omnivore,Medium,Common,H052,Forest,Ravi,5,683,Forest,46,3,Mild,Low,1.0,Balanced area with common animals
150,Sara,Rhino,Asian,Herbivore,Medium,Rare,H098,Mountains,Reva,2,2266,Mountain,8,5,Cold,Medium,1.3,Rocky regions with agile animals
151,Lawrence,Tiger,African,Herbivore,Medium,Rare,H092,Canyon,Tara,7,1246,Forest,6,9,Hot,Medium,1.4,Narrow passages with ambush threats
152,Shannon,Wolf,Arctic,Herbivore,High,Common,H077,Jungle,Liam,7,1283,Swamp,42,1,Humid,High,1.5,Dense forest with dangerous wild predators
153,Tyler,Bear,Mountain,Predator,Low,Rare,H002,Canyon,Liam,8,380,Forest,12,9,Hot,Medium,1.4,Narrow passages with ambush threats
154,Ronald,Bear,Snow,Predator,Medium,Common,H083,Savanna,Arjun,10,391,Volcano,23,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
155,Chelsea,Lion,Siberian,Omnivore,Low,Common,H093,City Ruins,Reva,7,311,Canyon,25,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
156,Angel,Tiger,Indochinese,Omnivore,High,Common,H089,Mountains,Ravi,9,334,Volcano,12,5,Cold,Medium,1.3,Rocky regions with agile animals
157,Daniel,Bear,Snow,Omnivore,Medium,Common,H009,Mountains,Ravi,2,2615,Desert,31,5,Cold,Medium,1.3,Rocky regions with agile animals
158,Andrea,Wolf,Siberian,Omnivore,Low,Common,H014,Tundra,Zara,2,1239,Desert,27,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
159,Sergio,Lion,Indian,Omnivore,High,Uncommon,H080,Tundra,Nikhil,5,1228,Forest,40,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
160,Cassandra,Cheetah,Indian,Herbivore,Medium,Uncommon,H048,Mountains,Nikhil,7,2229,Mountain,8,5,Cold,Medium,1.3,Rocky regions with agile animals
161,Tina,Lion,Mountain,Herbivore,Medium,Common,H055,Canyon,Kaira,8,518,Volcano,15,9,Hot,Medium,1.4,Narrow passages with ambush threats
162,Lisa,Lion,Sumatran,Omnivore,High,Common,H080,Tundra,Nikhil,5,1228,Forest,40,7,Freezing,High,1.7,"Frozen lands with rare, tough animals"
163,Michael,Lion,Bengal,Predator,High,Common,H007,City Ruins,Zara,4,994,Riverlands,44,8,Polluted,High,1.8,Post-apocalyptic zone with mutated species
164,Carol,Bear,Indochinese,Omnivore,Low,Uncommon,H015,Savanna,Dev,4,600,Jungle,19,6,Dry,Medium,1.2,Open plains with a mix of herbivores and predators
165,Tracy,Giraffe,Mountain,Predator,Medium,Rare,H079,Jungle,Reva,2,1179,Desert,12,1,Humid,High,1.5,Dense forest with dangerous wild predators
166,Mark,Cheetah,Snow,Predator,High,Common,H049,Forest,Zara,4,200,Forest,20,3,Mild,Low,1.0,Balanced area with common animals
167,Andrea,Elephant,Arctic,Herbivore,Low,Rare,H049,Swamp,Zara,4,200,Forest,20,4,Wet,High,1.6,Murky lands with hidden threats
168,Laurie,Wolf,Bengal,Predator,Medium,Common,H008,Jungle,Liam,6,2972,Riverlands,14,1,Humid,High,1.5,Dense forest with dangerous wild predators
169,Patrick,Tiger,Arctic,Herbivore,Medium,Uncommon,H030,Jungle,Reva,3,524,Jungle,45,1,Humid,High,1.5,Dense forest with dangerous wild predators
